,fips_code,state_code,mn_pay,sd_pay,cv_pay,nn_pay,pct_sp1011,pct_sp1012,pct_sp1013,pct_sp1021,pct_sp1022,pct_sp1023,pct_sp1024,pct_sp1025,pct_sp1026,pct_sp1027,pct_sp1028,pct_sp1029
01001,01001,01,29632.055008488966,20429.677384207036,0.6894451761227617,2945.0,0.01685866816521495,0.04795354500327807,0.1491992132621523,0.22553151634354218,0.0029034372951203522,0.03896225531516344,0.05713215322656177,0.2159782710499204,0.14844993912147608,0.022009927882363958,0.07502107333520652,0.0
01003,01003,01,35913.81370289384,19153.47904787116,0.5333178817020989,50763.0,0.010417349144991156,0.05688265740680076,0.056974382493612,0.24495839612133918,0.0055690231278254605,0.05232261023389897,0.0806132477232523,0.2039048679813929,0.20826836139684204,0.026875450435694163,0.05321365393435105,0.0
01005,01005,01,28959.02645502646,17035.77107755054,0.5882715395839426,1890.0,0.03878458498023715,0.017786561264822136,0.30311264822134387,0.1854001976284585,0.0018527667984189723,0.02717391304347826,0.04174901185770751,0.16353754940711462,0.09325592885375494,0.018280632411067192,0.10906620553359683,0.0
01007,01007,01,31619.97591743119,17548.46978569283,0.5549804918105221,872.0,0.017797552836484983,0.16751946607341492,0.13770856507230256,0.20978865406006675,0.0,0.021802002224694104,0.026028921023359287,0.2816462736373749,0.04449388209121246,0.0,0.0932146829810901,0.0
01009,01009,01,33609.38248847926,16074.723800605045,0.4782808433363866,3689.0,0.010205278592375367,0.06709677419354838,0.15870967741935485,0.20187683284457478,0.00750733137829912,0.0306158357771261,0.05079178885630498,0.2579472140762463,0.10521994134897361,0.03730205278592375,0.07272727272727272,0.0
01011,01011,01,32485.088397790056,18242.891865201786,0.5615774118208292,181.0,0.1402407116692831,0.0,0.0,0.16117216117216118,0.0,0.029304029304029304,0.10570381998953428,0.3772893772893773,0.05442176870748299,0.0,0.13186813186813187,0.0
01013,01013,01,30628.556598240466,15571.009064290847,0.5083820719512901,1705.0,0.028509090909090908,0.030545454545454546,0.20829090909090908,0.21614545454545456,0.008436363636363636,0.026036363636363635,0.09658181818181819,0.2018909090909091,0.1186909090909091,0.013672727272727272,0.0512,0.0
01015,01015,01,41725.48875152433,21883.988804303717,0.5244753137494224,23781.0,0.0053582612326320425,0.02386861821808819,0.1527452390341212,0.2117788963373617,0.009139198812368073,0.030827399039688248,0.08930435387720072,0.20700053350652967,0.11841525364756095,0.01881190415439215,0.13275034214005707,0.0
01017,01017,01,30476.461512717535,15458.901521903606,0.5072406951001432,2988.0,0.024384441536814558,0.028190793386463662,0.24717497323658855,0.19233971690258117,0.005709527774473653,0.019864398715356252,0.07160699417152373,0.22029261329844177,0.108837873200904,0.012251695016058047,0.06934697276079457,0.0
01019,01019,01,29110.174147217236,18495.86200958884,0.6353744885224927,1114.0,0.04211538461538462,0.01423076923076923,0.17903846153846154,0.24884615384615386,0.0055769230769230765,0.028653846153846155,0.06173076923076923,0.2586538461538462,0.09807692307692308,0.012884615384615385,0.05019230769230769,0.0
